genus.proper,family,extant,valid,inPBDB,INTEGRAT,GROWTH,MORPH,soli.diam,ECOLOGY,alt.symb,symbio,Reference,Evidence,Confidence
Acanthastrea,Lobophylliidae,1,1,1,2,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Acanthocoenia,Stylinidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Acanthocyathus,Caryophylliidae,1,1,1,0,solitary,trochoid,small,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Acanthogyra,Rhipidogyridae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Acropora,Acroporidae,1,1,1,2,colonial,ramose,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Acrosmilia,Acrosmiliidae,0,1,1,0,solitary,turbinate,small,az,,NA,NA,NA,NA
Actinacis,Actinacididae,0,1,1,2,colonial,ramose,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Actinaraea,Actinacididae,0,1,1,3,colonial,lamellar,,z,,Z,"{Tom†s, 2008 #11508}",Absence in poorly lit environments,2
Actinaraeopsis,Actinacididae,0,1,1,3,colonial,massive,,z,,Z,"{Tom†s, 2008 #11508}",Absence in poorly lit environments,2
Actinastrea,Actinastreidae,0,1,1,2,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Actinhelia,Actinacididae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Adegokeastrea,Astrocoeniidae,0,1,1,2,colonial,encrusting,,z,,NA,NA,NA,NA
Adelocoenia,Stylinidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Adkinsella,Flabellidae,0,1,1,0,solitary,turbinate,medium,az,z,NA,NA,NA,NA
Agaricia,Agariciidae,1,1,1,3,colonial,foliaceous,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Agathelia,Agatheliidae,0,1,1,2,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Agathiphyllia,Faviidae,0,1,1,2,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Aggomorphastraea,Latomeandridae,0,1,1,1,colonial,dendroid,,az,,NA,NA,NA,NA
Agrostyliastraea,Actinastreidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Alakiria,Volzeiidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Alatotrochus,Turbinoliidae,1,1,1,0,solitary,cuneiform,small,az,,NA,NA,NA,NA
Allocoenia,Actinastreidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Allocoeniopsis,Actinastreidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Alloiteausmilia,Zardinophyllidae,0,1,1,0,solitary,turbinate,large,z,,NA,NA,NA,NA
Alpinophyllia,Alpinophylliidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Alpinoseris,Alpinophylliidae,0,1,1,3,colonial,lamellar,,z,,NA,NA,NA,NA
Alveolocyathus,Turbinoliidae,0,1,1,0,solitary,trochoid,small,az,,NA,NA,NA,NA
Alveopora,Poritidae,1,1,1,2,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Ampakabastraea,Andemantastraeidae,0,1,1,3,colonial,massive,,z,,Z,"{Stanley, 1995 #600}",isotope data from skeleton,3
Amphiastrea,Amphiastreidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Amphiaulastrea,Amphiastreidae,0,1,1,2,colonial,columnar,,z,,NA,NA,NA,NA
Amphiphora,Cyathophoridae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Anacropora,Acroporidae,1,1,1,2,colonial,ramose,,z,,NA,NA,NA,NA
Andemantastraea,Andemantastraeidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Andrazella,Procyclolitidae,0,1,1,4,colonial,lamellar,,z,,NA,NA,NA,NA
Anisocoenia,Faviidae,0,1,1,2,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Anisoria,Meandrinidae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Annoticyathus,Caryophylliidae,0,1,1,0,solitary,trochoid,,az,,NA,NA,NA,NA
Anomocora,Caryophylliidae,1,1,1,1,colonial,dendroid,,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Anomopora,,0,1,1,2,colonial,ramose,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Anthemiphyllia,Anthemiphylliidae,1,1,1,0,solitary,patellate,small,az,,NA,NA,NA,NA
Anthostylis,Stylophyllidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Antiguastrea,Faviidae,0,1,1,2,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Antillia,Mussidae,0,1,1,0,solitary,turbinate,large,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Antillocyathus,Caryophylliidae,0,1,1,0,solitary,turbinate,small,az,,NA,NA,NA,NA
Antillophyllia,Faviidae,0,1,1,0,solitary,cylindrical,medium,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Antilloseris,Calamophylliidae,0,1,1,0,solitary,turbinate,medium,z,az,NA,NA,NA,NA
Aplocyathus,Caryophylliidae,1,1,1,0,solitary,discoid,small,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Aplophyllia,Stylinidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Aplopsammia,Dendrophylliidae,0,1,1,0,solitary,ceratoid,small,az,,NA,NA,NA,NA
Aplosmilia,Rhipidogyridae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Apocladophyllia,Cladophylliidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Apoplacophyllia,Aulastraeoporidae,0,1,1,1,colonial,phaceloid,,az,z,NA,NA,NA,NA
Aquitanastraea,Faviidae,0,1,1,2,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Aquitanophyllia,Mussidae,0,1,1,1,colonial,phaceloid,,z,az,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Araiophyllum,Microsolenidae,0,1,1,1,colonial,phaceloid,,az,z,NA,NA,NA,NA
Araucanastrea,Actinastreidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Archaeosmilia,Zardinophyllidae,0,1,1,0,solitary,turbinate,medium,az,z,NA,NA,NA,NA
Archaeosmiliopsis,Zardinophyllidae,0,1,1,1,colonial,phaceloid,,az,z,NA,NA,NA,NA
Arctangia,Rhizangiidae,0,1,1,0,solitary,turbinate,small,az,,NA,NA,NA,NA
Areaseris,Pamiroseriidae,0,1,1,3,colonial,lamellar,,z,,NA,NA,NA,NA
Areopsammia,Dendrophylliidae,0,1,1,0,solitary,turbinate,medium,az,,NA,NA,NA,NA
Aspidastraea,Cyclolitidae,0,1,1,3,colonial,cupolate,,z,,NA,NA,NA,NA
Aspidiscus,Cyclolitidae,0,1,1,2,colonial,cupolate,,z,,NA,NA,NA,NA
Asterosmilia,Caryophylliidae,0,1,1,0,solitary,trochoid,small,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Astraeofungia,Latomeandridae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Astraeomorpha,Astraeomorphidae,0,1,1,3,colonial,massive,,z,,Z,"{Martindale, 2012 #13474}",Corallum shape with depth,1
Astrangia,Rhizangiidae,1,1,1,1,colonial,dendroid,,ap,,AP,"{Perrin, 2012 #14453}",Uniformitarian,1
Astraraea,Astraraeidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Astreopora,Acroporidae,1,1,1,2,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Astrhelia,Oculinidae,0,1,1,2,colonial,ramose,,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Astrocoenia,Astrocoeniidae,0,1,1,2,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Astrogyra,Placocoeniidae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Astroides,Dendrophylliidae,1,1,1,2,colonial,massive,,az,,NA,NA,NA,NA
Atelophyllia,Incertae sedis,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Athecastraea,Faviidae,0,1,1,2,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Atopocoenia,Astrocoeniidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Aulastraea,Amphiastreidae,0,1,1,1,colonial,phaceloid,,z,,NA,NA,NA,NA
Aulastraeopora,Aulastraeoporidae,0,1,1,0,solitary,cylindrical,large,z,,NA,NA,NA,NA
Aulocyathus,Caryophylliidae,1,1,1,0,solitary,ceratoid,small,az,,NA,NA,NA,NA
Aulophyllia,Smilotrochidae,0,1,1,0,solitary,subcylindrical,medium,az,z,NA,NA,NA,NA
Aulosmilia,Meandrinidae,0,1,1,0,solitary,trochoid,small,az,,NA,NA,NA,NA
Australomussa,Lobophylliidae,1,1,1,2,colonial,lamellar,,z,,NA,NA,NA,NA
Australoseris,Stylinidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Axoseris,Fungiidae,0,1,1,3,colonial,encrusting,,z,,NA,NA,NA,NA
Axosmilia,Axosmiliidae,0,1,1,0,solitary,turbinate,small,az,,NA,NA,NA,NA
Axosmiliopsis,Axosmiliidae,0,1,1,0,solitary,trochoid,small,az,,NA,NA,NA,NA
Axotrochus,Coryphylliidae,0,1,1,0,solitary,conical,medium,az,z,NA,NA,NA,NA
Bacarella,Acroporidae,0,1,1,2,colonial,reptoid,,z,,NA,NA,NA,NA
Balanophyllia,Dendrophylliidae,1,1,1,0,solitary,conical,small,ap,,AP,"{Perrin, 2012 #14453}",Uniformitarian,1
Bantamia,Oculinidae,0,1,1,1,colonial,ramose,,az,,NA,NA,NA,NA
Barabattoia,Faviidae,1,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Baryphyllia,Calamophylliidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Barysmilia,Rhipidogyridae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Bathangia,Rhizangiidae,0,1,1,1,colonial,dendroid,,az,,NA,NA,NA,NA
Bathmosmilia,Amphiastreidae,0,1,1,0,solitary,cylindrical,large,z,az,NA,NA,NA,NA
Bathycoenia,Cyathophoridae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Bathycyathus,Caryophylliidae,1,1,1,0,solitary,turbinate,small,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Bathypsammia,Dendrophylliidae,1,1,1,0,solitary,trochoid,small,az,,NA,NA,NA,NA
Bavarosmilia,Margarophylliidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Beneckastraea,Pamiroseriidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Bilaterocoenia,Stylinidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Blastomussa,Mussidae,1,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Blastozopsammia,Dendrophylliidae,0,1,1,2,colonial,ramose,,z,,NA,NA,NA,NA
Bodeurina,Rhipidogyridae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Bothrophoria,Turbinoliidae,0,1,1,0,solitary,trochoid,small,az,,NA,NA,NA,NA
Bourneotrochus,Caryophylliidae,1,1,1,0,solitary,discoid,small,az,,NA,NA,NA,NA
Brachiatusmilia,Parasmiliidae,0,1,1,1,colonial,dendroid,,az,,NA,NA,NA,NA
Brachthelia,Agatheliidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Brachymeandra,Haplaraeidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Brachyphyllia,Agariciidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Brachyseris,Latomeandridae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Brevimaeandra,Montlivaltiidae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Budaia,Amphiastreidae,0,1,1,0,solitary,ceratoid,small,az,,NA,NA,NA,NA
Budiopsis,Amphiastreidae,0,1,1,NA,,,,,,NA,NA,NA,NA
Bussonastrea,Amphiastreidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Cahuzacopsammia,Dendrophylliidae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Calamophyllia,Calamophylliidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Calamophylliopsis,Dermosmiliidae,0,1,1,1,colonial,phaceloid,,z,az,Z,"{Tom†s, 2008 #11508}",Corallum shape with depth,2
Calamoseris,Calamophylliidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Calostylopsis,Dendrophylliidae,0,1,1,0,solitary,ceratoid,small,az,,NA,NA,NA,NA
Campesteria,Pamiroseriidae,0,1,1,3,colonial,lamellar,,z,,NA,NA,NA,NA
Camptodocis,Haplaraeidae,0,1,1,3,colonial,,,z,,NA,NA,NA,NA
Canleria,Heterocoeniidae,0,1,1,2,colonial,lamellar,,z,,NA,NA,NA,NA
Cardiastraea,Reimaniphylliidae,0,1,1,2,colonial,discoid,small,az,,NA,NA,NA,NA
Carolastraea,Carolastraeidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Carpathiphyllia,Protoheterastraeidae,0,1,1,0,solitary,turbinate,small,az,,NA,NA,NA,NA
Caryophyllia,Caryophylliidae,1,1,1,0,solitary,turbinate,small,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Caryosmilia,Caryophylliidae,0,1,1,0,solitary,trochoid,small,az,,NA,NA,NA,NA
Castiglionastrea,Heterocoeniidae,0,1,1,2,colonial,massive,,z,,Z,"{Gill, 2004 #10191}",pennular septa,3
Catalaphyllia,Euphyllidae,1,1,1,4,colonial,flabellate,,z,,NA,NA,NA,NA
Caulastrea,Faviidae,1,1,1,1,colonial,phaceloid,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Ceratocoenia,Amphiastreidae,0,1,1,0,solitary,cylindrical,medium,az,z,NA,NA,NA,NA
Ceratophyllia,Faviidae,0,1,1,0,solitary,ceratoid,small,az,,NA,NA,NA,NA
Ceratothecia,Montlivaltiidae,0,1,1,1,colonial,dendroid,,az,z,NA,NA,NA,NA
Ceratotrochus,Caryophylliidae,1,1,1,0,solitary,trochoid,medium,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Cerioheterastraea,Stylophyllidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Ceriostella,Margarophylliidae,0,1,1,2,colonial,massive,,z,,Z,"{Stanley, 2010 #12979}",Growth bands,2
Cheilosmilia,Amphiastreidae,0,1,1,0,solitary,cylindrical,medium,az,z,NA,NA,NA,NA
Chevalieria,Tropidastraeidae,0,1,1,3,colonial,,,z,,NA,NA,NA,NA
Chevalierismilia,Parasmiliidae,0,1,1,0,solitary,trochoid,,az,,NA,NA,NA,NA
Chomatoseris,Microsolenidae,0,1,1,0,solitary,cupolate,small,az,,NA,NA,NA,NA
Chondrocoenia,Actinastreidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Circophyllia,Mussidae,0,1,1,0,solitary,trochoid,medium,az,z,NA,NA,NA,NA
Cladangia,Rhizangiidae,1,1,1,2,colonial,ramose,,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Cladocora,Faviidae,1,1,1,1,colonial,phaceloid,,ap,,AP,"{Perrin, 2012 #14453}",Uniformitarian,1
Cladophyllia,Cladophylliidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Cladophylliopsis,Dermosmiliidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Clausastrea,Montlivaltiidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Clonosmilia,Caryophylliidae,0,1,1,1,colonial,dendroid,,az,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Coccophyllum,Stylophyllidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Codonosmilia,Rhipidogyridae,0,1,1,1,colonial,dendroid,,az,,NA,NA,NA,NA
Coeloseris,Agariciidae,1,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Coelosmilia,Caryophylliidae,0,1,1,0,solitary,trochoid,medium,az,,NA,NA,NA,NA
Coenangia,Rhizangiidae,1,1,1,2,colonial,lamellar,,az,,NA,NA,NA,NA
Coenastraea,Actinastreidae,0,1,1,2,colonial,ramose,,z,,NA,NA,NA,NA
Coenocyathus,Caryophylliidae,1,1,1,1,colonial,dendroid,,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Coenotheca,Montlivaltiidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Collignonastraea,Latomeandridae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Colpophyllia,Faviidae,1,1,1,4,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Columactinastraea,Actinastreidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Columastrea,Columastreidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Columellogyra,Faviidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Columellophora,Cyathopohoridae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Columnaphyllia,Amphiastreidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Columnocoenia,Placocoeniidae,0,1,1,2,colonial,massive,,z,,Z,"{Rosen, 2000 #6594}",Corallum shape with depth,1
Comophyllia,Latomeandridae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Comoseris,Microsolenidae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Complexastraeopsis,Montlivaltiidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Complexastrea,Montlivaltiidae,0,1,1,2,colonial,massive,,z,,Z,"{Lathuiliäre, 2000 #5075}",Corallum shape with depth,1
Confusaforma,Heterocoeniidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Confusastraraea,Haplaraeidae,0,1,1,2,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Confusastrea,Haplaraeidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Conicosmilotrochus,Parasmilidae,0,1,1,0,solitary,ceratoid,small,az,,NA,NA,NA,NA
Connectastrea,Amphiastreidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Conocyathus,Turbinoliidae,1,1,1,0,solitary,trochoid,small,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Conophyllia,Procyclolitidae,0,1,1,0,solitary,cylindrical,small,az,,NA,NA,NA,NA
Conosmilia,Flabellidae,0,1,1,0,solitary,trochoid,small,az,,NA,NA,NA,NA
Conotrochus,Caryophylliidae,1,1,1,0,solitary,trochoid,small,az,,NA,NA,NA,NA
Convexastrea,Stylinidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Corbariastraea,Thamnasteriidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Coryphyllia,Coryphylliidae,0,1,1,0,solitary,cylindrical,large,z,,Z,"{Stanley, 1995 #600}",isotope data from skeleton,1
Coryphyllina,Reimaniphylliidae,0,1,1,0,solitary,cylindrical,medium,az,z,NA,NA,NA,NA
Coscinaraea,Siderastreidae,1,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Craspedophyllia,Alpinophylliidae,0,1,1,1,colonial,phaceloid,,az,z,NA,NA,NA,NA
Craspedosmilia,Conophylliidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Crassistella,Pamiroseriidae,0,1,1,2,colonial,massive,,z,,Z,"{Martindale, 2012 #13474}",Corallum shape with depth,1
Craterastraea,Agariciidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Crateroseris,Synastreidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Crispatotrochus,Caryophylliidae,1,1,1,0,solitary,ceratoid,small,az,,NA,NA,NA,NA
Cryptangia,Rhizangiidae,0,1,1,1,colonial,dendroid,,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Cryptocoenia,Cyathophoridae,0,1,1,2,colonial,massive,,z,,Z,"{Tom†s, 2008 #11508}",Corallum shape with depth,1
Ctenactis,Fungiidae,1,1,1,0,solitary,discoid,large,z,,NA,NA,NA,NA
Ctenella,Meandrinidae,1,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Cuifastraea,Cuifastraeidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Cuifia,Coryphylliidae,0,1,1,0,solitary,cylindrical,large,z,,NA,NA,NA,NA
Culicia,Rhizangiidae,1,1,1,2,colonial,reptoid,,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
