genus.proper,family,extant,valid,inPBDB,INTEGRAT,GROWTH,MORPH,soli.diam,ECOLOGY,alt.symb,symbio,Reference,Evidence,Confidence
Pleuropodia,Turbinoliidae,0,1,1,0,solitary,cylindrical,small,az,,NA,NA,NA,NA
Pleurosmilia,Axosmiliidae,0,1,1,0,solitary,trochoid,medium,az,z,NA,NA,NA,NA
Pleurostylina,Amphiastreidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Pocillopora,Pocilloporidae,1,1,1,2,colonial,ramose,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Podabacia,Fungiidae,1,1,1,3,colonial,foliaceous,,z,,NA,NA,NA,NA
Podoseris,Haplaraeidae,0,1,1,0,solitary,tympanoid,,az,,NA,NA,NA,NA
Pokljukosmilia,Reimaniphylliidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Polyastropsis,Thamnasteriidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Polycyathus,Caryophylliidae,1,1,1,1,colonial,lamellar,,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Polymorphastraea,Amphiastreidae,0,1,1,1,solitary,dendroid,small,az,,NA,NA,NA,NA
Polyphylloseris,Microsolenidae,0,1,1,3,colonial,lamellar,,z,,Z,"{Tom†s, 2008 #11508}",Corallum shape with depth,1
Pontebbastraea,Protoheterstraeidae,0,1,1,1,colonial,phaceloid,,az,z,NA,NA,NA,NA
Porites,Poritidae,1,1,1,2,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Pourtalocyathus,Schizocyathidae,1,1,1,0,solitary,trochoid,small,az,,NA,NA,NA,NA
Preverastraea,Aulastraeoporidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Primorodendron,Reimaniphylliidae,0,1,1,1,colonial,dendroid,,az,z,NA,NA,NA,NA
Proaplophyllia,Stylinidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Procyathophora,Stylinidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Procyclolites,Procyclolitidae,0,1,1,0,solitary,trochoid,large,z,az,NA,NA,NA,NA
Prodonacosmilia,Donacosmiliidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Progyrosmilia,Meandrinidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Proleptophyllia,Acrosmiliidae,0,1,1,0,solitary,turbinate,medium,az,z,NA,NA,NA,NA
Promargarosmilia,Margarophylliidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Proretiophyllia,Reimaniphylliidae,0,1,1,1,colonial,phaceloid,,az,,NA,NA,NA,NA
Protoheterastrea,Protoheterstraeidae,0,1,1,0,solitary,cylindrical,small,az,,NA,NA,NA,NA
Protoseris,Calamophylliidae,0,1,1,3,colonial,foliaceous,,z,,NA,NA,NA,NA
Protostylophyllum,Stylophyllidae,0,1,1,0,solitary,turbinate,small,az,,NA,NA,NA,NA
Pruvostastraea,Rhipidogyridae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Psammocora,Siderastreidae,1,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Psammocyathus,Caryophylliidae,0,1,1,0,solitary,turbinate,,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Psammogyra,Rhipidogyridae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Psammohelia,Stylinidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Pseudisastraea,Faviidae,0,1,1,2,colonial,,,z,,NA,NA,NA,NA
Pseudocoenia,Stylinidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Pseudocoeniopsis,Stylinidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Pseudodiplocoenia,Amphiastreidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Pseudofavia,Haplaraeidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Pseudoironella,Rhipidogyridae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Pseudomyriophyllia,Faviidae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Pseudopisthophyllum,Amphiastreidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Pseudosiderastrea,Siderastreidae,1,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Psilogyra,Rhipidogyridae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Puschastraea,Montlivaltiidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Quenstedtiphyllia,Amphiastraeidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Radiophyllia,Zardinophyllidae,0,1,1,0,solitary,trochoid,small,az,,NA,NA,NA,NA
Recticostastraea,Thamnasteriidae,0,1,1,3,colonial,lamellar,,z,,NA,NA,NA,NA
Remismilia,Protoheterastraeidae,0,1,1,1,colonial,phaceloid,,z,,NA,NA,NA,NA
Rennensismilia,Meandrinidae,0,1,1,0,solitary,flabellate,medium,z,az,NA,NA,NA,NA
Retiophyllia,Reimaniphylliidae,0,1,1,1,colonial,phaceloid,,z,az,Z,"{Stanley, 1995 #600}",isotope data from skeleton,3
Reussicoenia,Phyllocoeniidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Reussiphyllon,Fungiidae,0,1,1,3,colonial,lamellar,,z,,NA,NA,NA,NA
Reussopsammia,Dendrophylliidae,0,1,1,1,colonial,dendroid,,az,z,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Rhabdophyllia,Montlivaltiidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Rhabdopsammia,Dendrophylliidae,0,1,1,1,colonial,phaceloid,,az,z,NA,NA,NA,NA
Rhaetiastraea,Pamiroseriidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Rhipidastraea,Rhipidastraeidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Rhipidogyra,Rhipidogyridae,0,1,1,3,colonial,flabellate,,z,,NA,NA,NA,NA
Rhipidomeandra,Rhipidogyridae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Rhipidosmilia,Rhipidogyridae,0,1,1,1,colonial,flabellate,,az,,NA,NA,NA,NA
Rhizangia,Rhizangiidae,0,1,1,1,colonial,reptoid,,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Rhizopsammia,Dendrophylliidae,1,1,1,1,colonial,reptoid,,az,,NA,NA,NA,NA
Rhizotrochus,Flabellidae,1,1,1,0,solitary,turbinate,medium,az,,NA,NA,NA,NA
Rhopalodendron,Conophyllidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Rodinosmilia,Volzeiidae,0,1,1,0,solitary,cylindrical,large,z,,NA,NA,NA,NA
Sakalavastraea,Faviidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Saltocyathus,Rhipidogyridae,0,1,1,0,solitary,trochoid,large,z,,NA,NA,NA,NA
Sandalolitha,Fungiidae,1,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Scalariogyra,Meandrinidae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Schizoculina,Oculinidae,1,1,1,2,colonial,ramose,,z,,NA,NA,NA,NA
Schizocyathus,Guyniidae,1,1,1,0,solitary,ceratoid,small,az,,NA,NA,NA,NA
Sclerhelia,Oculinidae,1,1,1,1,colonial,dendroid,,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Scolymia,Mussidae,1,1,1,0,solitary,discoid,large,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Selenegyra,Amphiastreidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Semeloseris,Microsolenidae,0,1,1,3,colonial,discoid,,z,,NA,NA,NA,NA
Semidistichophyllum,Margarophylliidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Septastrea,Rhizangiidae,0,1,1,2,colonial,ramose,,az,,NA,NA,NA,NA
Seriastraea,Astraeomorphidae,0,1,1,3,colonial,lamellar,,z,,NA,NA,NA,NA
Seriatopora,Pocilloporidae,1,1,1,2,colonial,ramose,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Sichuanophyllia,Zardinophyllidae,0,1,1,2,colonial,,,z,,NA,NA,NA,NA
Siderastrea,Siderastreidae,1,1,1,2,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Siderastreites,Siderastreidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Siderofungia,Siderastreidae,0,1,1,3,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Sideroseris,Siderastreidae,0,1,1,0,solitary,subcylindrical,small,az,,NA,NA,NA,NA
Siderosmilia,Siderastreidae,0,1,1,1,colonial,phaceloid,,az,z,NA,NA,NA,NA
Silesiastraea,Cuifastraeidae,0,1,1,3,colonial,lamellar,,z,,NA,NA,NA,NA
Silingastraea,Cyathophoridae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Simplexastraea,Zardinophyllidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Sinaimeandra,Montlivaltiidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Sinuosiphyllia,Meandriidae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Smilostylia,Smilostyliidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Smilotrochus,Caryophylliidae,0,1,1,0,solitary,trochoid,small,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Solenastrea,Faviidae,1,1,1,2,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Solenocoenia,Stylinidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Somalica,Rhipidogyridae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Sphenotrochus,Turbinoliidae,1,1,1,0,solitary,cuneiform,small,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Starostinia,Rhipidogyridae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Stelidioseris,Actinastreidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Stelloria,Caryophylliidae,0,1,1,0,solitary,turbinate,small,az,,NA,NA,NA,NA
Stenocyathus,Guyniidae,1,1,1,0,solitary,ceratoid,small,az,,NA,NA,NA,NA
Stephanastrea,Actinastreidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Stephanaxocoenia,Faviidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Stephanaxophyllia,Columastreidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Stephanocoenia,Astrocoeniidae,1,1,1,2,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Stephanocyathus,Caryophylliidae,1,1,1,0,solitary,patellate,medium,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Stephanomorpha,Siderastreidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Stephanophyllia,Micrabaciidae,1,1,1,0,solitary,cupolate,small,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Stephanosmilia,Caryophylliidae,0,1,1,0,solitary,trochoid,small,az,,NA,NA,NA,NA
Stereocaenia,Thamnasteriidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Stibastrea,Calamophylliidae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Stiboriopsis,Haplaraeidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Strotogyra,Meandrinidae,0,1,1,2,colonial,flabellate,,z,,NA,NA,NA,NA
Stuoresia,Guembelastraeidae,0,1,1,2,colonial,massive,,z,,Z,"{Stanley, 1995 #600}",isotope data from skeleton,3
Stuoresimorpha,Alpinophylliidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Stylangia,Stylinidae,0,1,1,1,colonial,dendroid,,az,,NA,NA,NA,NA
Stylina,Stylinidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Stylocoenia,Astrocoeniidae,0,1,1,2,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Stylocoeniella,Astrocoeniidae,1,1,1,2,colonial,lamellar,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Stylocora,Faviidae,0,1,1,1,colonial,dendroid,,az,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Stylocyathus,Caryophylliidae,0,1,1,0,solitary,turbinate,small,az,,NA,NA,NA,NA
Stylohelia,Stylinidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Stylophora,Pocilloporidae,1,1,1,2,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Stylophyllopsis,Stylophyllidae,0,1,1,0,solitary,turbinate,medium,z,az,Z,"{Stanley, 1995 #600}",isotope data from skeleton,3
Stylophyllum,Stylophyllidae,0,1,1,0,solitary,turbinate,medium,z,az,NA,NA,NA,NA
Stylosmilia,Stylinidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Submargarosmilia,Margarophylliidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Substuoresia,Thamnasteriidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Summigaraea,Haplaraeidae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Symbiangia,Rhizangiidae,0,1,1,2,colonial,massive,,az,,NA,NA,NA,NA
Symphyllia,Mussidae,1,1,1,3,colonial,flabellate,,z,,NA,NA,NA,NA
Synastrea,Synastraeidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Synhelia,Calamophylliidae,0,1,1,1,colonial,dendroid,,az,,NA,NA,NA,NA
Syzygophyllia,Mussidae,0,1,1,0,solitary,cylindrical,large,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Tarbellastraea,Faviidae,0,1,1,2,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Taxogyra,Placocoeniidae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Tethocyathus,Caryophylliidae,1,1,1,0,solitary,turbinate,small,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Thalamocaeniopsis,Latomeandridae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Thamnarea,Actinacididae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Thamnasteria,Thamnasteriidae,0,1,1,3,colonial,massive,,z,,Z,"{Lathuiliäre, 2000 #5075}",Corallum shape with depth,1
Thamnasteriamorpha,Thamnasteriidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Thamnasterites,,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Thamnocoenia,Meandriidae,0,1,1,1,colonial,dendroid,,az,,NA,NA,NA,NA
Thamnomargarosmilia,Margarophylliidae,0,1,1,3,colonial,phaceloid,,z,az,NA,NA,NA,NA
Thamnoseris,Latomeandridae,0,1,1,3,colonial,massive,,z,,Z,"{Tom†s, 2008 #11508}",Corallum shape with depth,1
Thecactinastraea,Actinastreidae,0,1,1,2,colonial,phaceloid,,az,z,NA,NA,NA,NA
Thecidiosmilia,Heterocoeniidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Thecocyathus,Caryophylliidae,0,1,1,0,solitary,turbinate,small,az,,NA,NA,NA,NA
Thecomeandra,Montlivaltiidae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Thecopsammia,Dendrophylliidae,1,1,1,0,solitary,turbinate,small,az,,NA,NA,NA,NA
Thecoseris,Procyclolitidae,0,1,1,0,solitary,turbinate,small,az,,NA,NA,NA,NA
Thecosmilia,Montlivaltiidae,0,1,1,1,colonial,phaceloid,,z,,NA,NA,NA,NA
Thysanus,Faviidae,0,1,1,3,colonial,flabellate,,z,,NA,NA,NA,NA
Tiaradendron,Rhipidogyridae,0,1,1,1,colonial,dendroid,,az,,AZ,"{Gill, 2004 #10191}",Dendroid growth,3
Tiarasmilia,Caryophylliidae,0,1,1,0,solitary,trochoid,small,az,,NA,NA,NA,NA
Tirnovimeandra,Trochoidomeandridae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Toechastraea,Reimaniphylliidae,0,1,1,2,colonial,massive,,z,,Z,"{Stanley, 1995 #600}",isotope data from skeleton,3
Tortoflabellum,Meandrinidae,0,1,1,3,colonial,flabellate,,z,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Trachyphyllia,Mussidae,1,1,1,1,colonial,flabellate,,z,,NA,NA,NA,NA
Trematotrochus,Turbinoliidae,1,1,1,0,solitary,ceratoid,small,az,,NA,NA,NA,NA
Tricassastraea,Isastreidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Tricycloseris,Microsolenidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Trigerastraea,Andemantastraeidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Trigerastraeopsis,Andemantastraeidae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Trocharea,Microsolenidae,0,1,1,0,solitary,turbinate,medium,az,z,NA,NA,NA,NA
Trochocyathus,Caryophylliidae,1,1,1,0,solitary,turbinate,small,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Trochoidomeandra,Trochoidomeandridae,0,1,1,1,colonial,flabellate,,az,,NA,NA,NA,NA
Trochophyllia,Montlivaltiidae,0,1,1,0,solitary,trochoid,medium,az,z,NA,NA,NA,NA
Trochoplegma,Microsolenidae,0,1,1,0,solitary,flabellate,small,az,,NA,NA,NA,NA
Trochoplegmopsis,Latomeandridae,0,1,1,0,solitary,flabellate,medium,z,az,NA,NA,NA,NA
Trochoseris,Agariciidae,0,1,1,0,solitary,turbinate,medium,z,az,NA,NA,NA,NA
Trochoseropsis,Agariciidae,0,1,1,0,solitary,cylindrical,small,az,,NA,NA,NA,NA
Trochosmilia,Montlivaltiidae,0,1,1,0,solitary,trochoid,medium,az,z,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Tropiastraea,Pamiroseriidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Tropidendron,Tropiastreidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Tropidocyathus,Caryophylliidae,1,1,1,0,solitary,trochoid,small,az,,NA,NA,NA,NA
Tropiphyllum,Tropiastraeidae,0,1,1,0,solitary,cylindrical,small,az,,NA,NA,NA,NA
Truncatoflabellum,Flabellidae,1,1,1,0,solitary,flabellate,small,az,,NA,NA,NA,NA
Truncoconus,Dermosmiliidae,0,1,1,0,solitary,tympanoid,,az,,NA,NA,NA,NA
Tubastraea,Dendrophylliidae,1,1,1,1,colonial,phaceloid,,az,,NA,NA,NA,NA
Tubicora,Dermosmillidae,0,1,1,1,colonial,phaceloid,,az,z,NA,NA,NA,NA
Turbinaria,Dendrophylliidae,1,1,1,2,colonial,lamellar,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Turbinolia,Turbinoliidae,1,1,1,0,solitary,turbinate,small,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Turnsekophyllia,Acrosmiliidae,0,1,1,1,colonial,reptoid,,z,,NA,NA,NA,NA
Valliculastraea,Latomeandridae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Vallimeandra,Latomeandridae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Vallimeandropsis,Andemantastraeidae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Variabilifavia,Faviidae,0,1,1,4,colonial,lamellar,,z,,?,"{Perrin, 2012 #14453}",,NA
Vaughanella,Caryophylliidae,1,1,1,0,solitary,trochoid,small,az,,NA,NA,NA,NA
Vaughanoseris,Agariciidae,0,1,1,0,solitary,patellate,,z,,NA,NA,NA,NA
Vielicyathus,Caryophylliidae,0,1,1,0,solitary,turbinate,small,az,,NA,NA,NA,NA
Volzeia,Volzeiidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Wadeopsammia,Dendrophylliidae,0,1,1,0,solitary,turbinate,small,az,,NA,NA,NA,NA
Wellsimeandra,Trochoidomeandridae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Wellsotrochus,Turbinoliidae,0,1,1,0,solitary,cylindrical,small,az,,NA,NA,NA,NA
Zardinophyllum,Zardinophyllidae,0,1,1,0,solitary,cylindrical,small,az,,NA,NA,NA,NA
Zoopilus,Fungiidae,1,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Dipsastraea,Merulinidae,1,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Astrea,Merulinidae,1,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Pseudodiploria,Mussidae,1,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Coelastrea,Merulinidae,1,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Bathelia,Oculinidae,1,1,1,1,colonial,dendroid,,az,,NA,NA,NA,NA
Monomyces,Flabellidae,1,1,1,0,solitary,flabellate,medium,az,,NA,NA,NA,NA
Placocyathus,Caryophylliidae,0,1,1,3,colonial,flabellate,,z,,NA,"{Budd, 1994 #4857}",NA,
Lepidophyllia,Stylophyllidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
